sample	lane	techrep	biorep	fq1	fq2
Annaglo	3	1	2018-1	/groups/INVITE/WGBS2018/1-1/FCHMJLJCCXY_L3_APPncfMAAAAAAA-46_1.fq.gz	/groups/INVITE/WGBS2018/1-1/FCHMJLJCCXY_L3_APPncfMAAAAAAA-46_2.fq.gz

Annaglo	3	1	2018-2	/groups/INVITE/WGBS2018/1-2/FCHJYKVDSXX_L3_APPkgeMAAAAAAA-27_1.fq.gz	/groups/INVITE/WGBS2018/1-2/FCHJYKVDSXX_L3_APPkgeMAAAAAAA-27_2.fq.gz
Annaglo	1	1	2019-1	/groups/INVITE/WGBS2019/1-1/FCHNJK2DSXX_L1_DAPfcvMAAAJAAA-36_1.fq.gz	/groups/INVITE/WGBS2019/1-1/FCHNJK2DSXX_L1_DAPfcvMAAAJAAA-36_2.fq.gz
Annaglo	2	1	2019-1	/groups/INVITE/WGBS2019/1-1/FCHMF7NDSXX_L2_DAPfcvMAAAJAAA-36_1.fq.gz	/groups/INVITE/WGBS2019/1-1/FCHMF7NDSXX_L2_DAPfcvMAAAJAAA-36_2.fq.gz
Annaglo	1	1	2019-2	/groups/INVITE/WGBS2019/1-2/FCHNJK2DSXX_L1_DAPfcvMAAAAAAA-21_1.fq.gz	/groups/INVITE/WGBS2019/1-2/FCHNJK2DSXX_L1_DAPfcvMAAAAAAA-21_2.fq.gz
Annaglo	2	1	2019-2	/groups/INVITE/WGBS2019/1-2/FCHMF7NDSXX_L2_DAPfcvMAAAAAAA-21_1.fq.gz	/groups/INVITE/WGBS2019/1-2/FCHMF7NDSXX_L2_DAPfcvMAAAAAAA-21_2.fq.gz

Rossa	3	1	2018-1	/groups/INVITE/WGBS2018/2-1/FCHMJLJCCXY_L3_APPncfMAAABAAA-48_1.fq.gz	/groups/INVITE/WGBS2018/2-1/FCHMJLJCCXY_L3_APPncfMAAABAAA-48_2.fq.gz
Rossa	4	1	2018-1	/groups/INVITE/WGBS2018/2-1/FCHMJLJCCXY_L4_APPncfMAAABAAA-48_1.fq.gz	/groups/INVITE/WGBS2018/2-1/FCHMJLJCCXY_L4_APPncfMAAABAAA-48_2.fq.gz
Rossa	5	1	2018-1	/groups/INVITE/WGBS2018/2-1/FCHMJLJCCXY_L5_APPncfMAAABAAA-48_1.fq.gz	/groups/INVITE/WGBS2018/2-1/FCHMJLJCCXY_L5_APPncfMAAABAAA-48_2.fq.gz
Rossa	3	1	2018-2	/groups/INVITE/WGBS2018/2-2/FCHJYKVDSXX_L3_APPkgeMAAABAAA-45_1.fq.gz	/groups/INVITE/WGBS2018/2-2/FCHJYKVDSXX_L3_APPkgeMAAABAAA-45_2.fq.gz
Rossa	2	1	2019-1	/groups/INVITE/WGBS2019/2-1/FCHMF7NDSXX_L2_DAPfcvMAAABAAA-24_1.fq.gz	/groups/INVITE/WGBS2019/2-1/FCHMF7NDSXX_L2_DAPfcvMAAABAAA-24_2.fq.gz
Rossa	1	1	2019-2	/groups/INVITE/WGBS2019/2-2/FCHM7HFDSXX_L1_DAPfcvMAAALAAA-40_1.fq.gz	/groups/INVITE/WGBS2019/2-2/FCHM7HFDSXX_L1_DAPfcvMAAALAAA-40_2.fq.gz

Gala	3	1	2018-1	/groups/INVITE/WGBS2018/3-1/FCHMJLJCCXY_L3_APPncfMAAACAAA-50_1.fq.gz	/groups/INVITE/WGBS2018/3-1/FCHMJLJCCXY_L3_APPncfMAAACAAA-50_2.fq.gz
Gala	4	1	2018-1	/groups/INVITE/WGBS2018/3-1/FCHMJLJCCXY_L4_APPncfMAAACAAA-50_1.fq.gz	/groups/INVITE/WGBS2018/3-1/FCHMJLJCCXY_L4_APPncfMAAACAAA-50_2.fq.gz
Gala	5	1	2018-1	/groups/INVITE/WGBS2018/3-1/FCHMJLJCCXY_L5_APPncfMAAACAAA-50_1.fq.gz	/groups/INVITE/WGBS2018/3-1/FCHMJLJCCXY_L5_APPncfMAAACAAA-50_2.fq.gz
Gala	3	1	2018-2	/groups/INVITE/WGBS2018/3-2/FCHJYKVDSXX_L3_APPkgeMAAACAAA-46_1.fq.gz	/groups/INVITE/WGBS2018/3-2/FCHJYKVDSXX_L3_APPkgeMAAACAAA-46_2.fq.gz
Gala	1	1	2019-1	/groups/INVITE/WGBS2019/3-1/FCHNJK2DSXX_L1_DAPfcvMAAAKAAA-39_1.fq.gz	/groups/INVITE/WGBS2019/3-1/FCHNJK2DSXX_L1_DAPfcvMAAAKAAA-39_2.fq.gz
Gala	2	1	2019-1	/groups/INVITE/WGBS2019/3-1/FCHMF7NDSXX_L2_DAPfcvMAAAKAAA-39_1.fq.gz	/groups/INVITE/WGBS2019/3-1/FCHMF7NDSXX_L2_DAPfcvMAAAKAAA-39_2.fq.gz
Gala	1	1	2019-2	/groups/INVITE/WGBS2019/3-2/FCHNJK2DSXX_L1_DAPfcvMAAAFAAA-29_1.fq.gz	/groups/INVITE/WGBS2019/3-2/FCHNJK2DSXX_L1_DAPfcvMAAAFAAA-29_2.fq.gz
Gala	2	1	2019-2	/groups/INVITE/WGBS2019/3-2/FCHMF7NDSXX_L2_DAPfcvMAAAFAAA-29_1.fq.gz	/groups/INVITE/WGBS2019/3-2/FCHMF7NDSXX_L2_DAPfcvMAAAFAAA-29_2.fq.gz

Galaval	3	1	2018-1	/groups/INVITE/WGBS2018/4-1/FCHMJLJCCXY_L3_APPncfMAAADAAA-52_1.fq.gz	/groups/INVITE/WGBS2018/4-1/FCHMJLJCCXY_L3_APPncfMAAADAAA-52_2.fq.gz
Galaval	4	1	2018-1	/groups/INVITE/WGBS2018/4-1/FCHMJLJCCXY_L4_APPncfMAAADAAA-52_1.fq.gz	/groups/INVITE/WGBS2018/4-1/FCHMJLJCCXY_L4_APPncfMAAADAAA-52_2.fq.gz
Galaval	5	1	2018-1	/groups/INVITE/WGBS2018/4-1/FCHMJLJCCXY_L5_APPncfMAAADAAA-52_1.fq.gz	/groups/INVITE/WGBS2018/4-1/FCHMJLJCCXY_L5_APPncfMAAADAAA-52_2.fq.gz
Galaval	3	1	2018-2	/groups/INVITE/WGBS2018/4-2/FCHJYKVDSXX_L3_APPkgeMAAADAAA-113_1.fq.gz	/groups/INVITE/WGBS2018/4-2/FCHJYKVDSXX_L3_APPkgeMAAADAAA-113_2.fq.gz
Galaval	1	1	2019-1	/groups/INVITE/WGBS2019/4-1/FCHNJK2DSXX_L1_DAPfcvMAAAIAAA-35_1.fq.gz	/groups/INVITE/WGBS2019/4-1/FCHNJK2DSXX_L1_DAPfcvMAAAIAAA-35_2.fq.gz
Galaval	2	1	2019-1	/groups/INVITE/WGBS2019/4-1/FCHMF7NDSXX_L2_DAPfcvMAAAIAAA-35_1.fq.gz	/groups/INVITE/WGBS2019/4-1/FCHMF7NDSXX_L2_DAPfcvMAAAIAAA-35_2.fq.gz
Galaval	1	1	2019-2	/groups/INVITE/WGBS2019/4-2/FCHM7HFDSXX_L1_DAPfcvMAAAMAAA-41_1.fq.gz	/groups/INVITE/WGBS2019/4-2/FCHM7HFDSXX_L1_DAPfcvMAAAMAAA-41_2.fq.gz

Mitchgla	3	1	2018-2	/groups/INVITE/WGBS2018/5-2/FCHJYKVDSXX_L3_APPkgeMAAAEAAA-128_1.fq.gz	/groups/INVITE/WGBS2018/5-2/FCHJYKVDSXX_L3_APPkgeMAAAEAAA-128_2.fq.gz
Mitchgla	1	1	2019-1	/groups/INVITE/WGBS2019/5-1/FCHM7HFDSXX_L1_DAPfcvMAAACAAA-26_1.fq.gz	/groups/INVITE/WGBS2019/5-1/FCHM7HFDSXX_L1_DAPfcvMAAACAAA-26_2.fq.gz
Mitchgla	1	1	2019-2	/groups/INVITE/WGBS2019/5-2/FCHNJK2DSXX_L1_DAPfcvMAAAGAAA-30_1.fq.gz	/groups/INVITE/WGBS2019/5-2/FCHNJK2DSXX_L1_DAPfcvMAAAGAAA-30_2.fq.gz
Mitchgla	2	1	2019-2	/groups/INVITE/WGBS2019/5-2/FCHMF7NDSXX_L2_DAPfcvMAAAGAAA-30_1.fq.gz	/groups/INVITE/WGBS2019/5-2/FCHMF7NDSXX_L2_DAPfcvMAAAGAAA-30_2.fq.gz

Delicia	7	1	2018-1	/groups/INVITE/WGBS2018/6-1/FCHMJW2CCXY_L7_APPncfMAAAFAAA-54_1.fq.gz	/groups/INVITE/WGBS2018/6-1/FCHMJW2CCXY_L7_APPncfMAAAFAAA-54_2.fq.gz
Delicia	3	1	2018-2	/groups/INVITE/WGBS2018/6-2/FCHJYKVDSXX_L3_APPkgeMAAAFAAA-130_1.fq.gz	/groups/INVITE/WGBS2018/6-2/FCHJYKVDSXX_L3_APPkgeMAAAFAAA-130_2.fq.gz
